idx,dong,ro,num1,num2,lat,lng
1,송천동,경동로,1185,0,36.5522566,128.7821434
2,송천동,경동로,1218,0,19.6944865,117.9926116
3,송천동,경동로,1223,0,36.55007811,128.7845229
4,송천동,경동로,1248,0,36.54831081,128.7860774
5,송천동,경동로,1250,0,36.54812482,128.7861524
6,송천동,경동로,1263,0,36.54706019,128.7870777
7,송천동,경동로,1264,0,36.54697487,128.7866872
8,송천동,경동로,1267,0,36.54672565,128.7873554
9,송천동,경동로,1272,0,36.54632444,128.7870878
10,송천동,경동로,1276,11,36.54609617,128.7861877
11,송천동,경동로,1276,13,36.54611958,128.7859372
12,송천동,경동로,1276,26,36.54707827,128.785452
13,송천동,경동로,1279,0,36.54565401,128.7877389
14,송천동,경동로,1282,0,36.54541711,128.787514
15,송천동,경동로,1286,0,36.54502934,128.7876236
16,송천동,경동로,1289,0,36.54490216,128.7882352
17,송천동,경동로,1290,15,36.5440299,128.7865755
18,송천동,경동로,1290,19,36.54384741,128.7862895
19,송천동,경동로,1295,0,36.54440026,128.7883189
20,송천동,경동로,1297,0,36.54417799,128.7884269
21,송천동,경동로,1299,0,36.54404419,128.7885192
22,송천동,경동로,1301,0,36.54390379,128.7886989
23,송천동,경동로,1305,0,36.54358945,128.7887541
24,송천동,경동로,1306,0,36.54341778,128.788338
25,송천동,경동로,1307,0,36.543422,128.7889149
26,송천동,경동로,1308,0,36.54315647,128.7885921
27,송천동,경동로,1309,0,36.54320288,128.788987
28,송천동,경동로,1310,2,36.54289004,128.7880478
29,송천동,경동로,1312,0,36.54295582,128.788613
30,송천동,경동로,1314,0,36.54266801,128.7887897
31,송천동,경동로,1317,0,36.54250693,128.7893224
32,송천동,경동로,1318,0,36.54227144,128.7886386
33,송천동,경동로,1319,0,36.54233944,128.789373
34,송천동,경동로,1319,5,36.54256254,128.7895759
35,송천동,경동로,1319,9,36.54275635,128.7898861
36,송천동,경동로,1319,10,36.54279012,128.7899763
37,송천동,경동로,1319,11,36.54288294,128.7901183
38,송천동,경동로,1325,0,36.54188425,128.7896079
39,송천동,경동로,1327,0,36.54175247,128.7896815
40,송천동,경동로,1328,18,36.54219498,128.7879036
41,송천동,경동로,1331,0,36.54152274,128.78983
42,송천동,경동로,1337,0,36.54104846,128.790466
43,송천동,경동로,1339,0,36.54102516,128.790592
44,송천동,경동로,1375,0,36.53964546,128.7943456
45,송천동,경동로,1389,6,36.53923934,128.795217
46,송천동,경동로,1407,0,36.5385312,128.797227
47,송천동,경동로,1409,0,36.53854824,128.7974407
48,송천동,경동로,1462,11,36.53838316,128.803909
49,송천동,경동로,1462,13,36.53815257,128.8039917
50,송천동,경동로,1462,23,36.53725833,128.8044856
51,송천동,경동로,1462,28,36.53829145,128.8017424
52,송천동,경동로,1462,30,36.53806909,128.8013472
53,송천동,경동로,1462,50,36.53810574,128.8030113
54,송천동,경동로,1462,62,36.53777521,128.8038728
55,송천동,경동로,1462,68,36.53711131,128.8041399
56,송천동,경동로,1463,0,36.54040797,128.8046678
57,송천동,경동로,1484,10,36.53805769,128.8053563
58,송천동,경동로,1486,18,36.53826412,128.8075156
59,송천동,경동로,1486,20,36.53810905,128.8085545
60,송천동,경동로,1501,0,36.53920099,128.8074736
61,송천동,경동로,1511,0,36.53927427,128.808661
62,송천동,경동로,1513,0,36.53924579,128.8087766
63,송천동,경동로,1517,0,36.53925645,128.8091623
64,송천동,경동로,1519,0,36.53925947,128.8092665
65,송천동,경동로,1521,0,36.5392867,128.8096489
66,송천동,경동로,1523,0,36.53928123,128.8098366
67,송천동,경동로,1525,0,36.53926999,128.8100262
68,송천동,경동로,1526,0,36.53902743,128.8100152
69,송천동,경동로,1527,0,36.53927306,128.8101442
70,송천동,경동로,1529,0,36.53927388,128.8106557
71,송천동,경동로,1531,0,36.53947325,128.8107987
72,송천동,경동로,1532,0,36.53901121,128.8106295
73,송천동,경동로,1533,0,36.53928731,128.8109293
74,송천동,경동로,1533,1,36.5392918,128.8110294
75,송천동,경동로,1533,2,36.53940288,128.8110113
76,송천동,경동로,1534,0,36.53896397,128.8108728
77,송천동,경동로,1535,0,36.53937005,128.8112349
78,송천동,경동로,1538,6,36.53890961,128.811606
79,송천동,경동로,1541,0,36.53943894,128.8118672
80,송천동,경동로,1542,0,36.53914981,128.811945
81,송천동,경동로,1543,0,36.53948985,128.8121627
82,송천동,경동로,1546,0,36.53931682,128.81233
83,송천동,경동로,1547,0,36.53959399,128.8125567
84,송천동,경동로,1548,0,36.53934081,128.8126045
85,송천동,경동로,1549,0,36.53961182,128.8126909
86,송천동,경동로,1551,0,36.53959623,128.8129903
87,송천동,경동로,1552,0,36.53933657,128.8130946
88,송천동,경동로,1555,0,36.53963404,128.8132947
89,송천동,경동로,1557,0,36.53967477,128.8134854
90,송천동,경동로,1559,0,36.53971972,128.8137422
91,송천동,경동로,1563,0,36.53978868,128.814325
92,송천동,경동로,1568,0,36.53927574,128.8145774
93,송천동,논골길,2,0,36.53888094,128.7955784
94,송천동,논골길,3,0,36.53899246,128.7954141
95,송천동,논골길,5,0,36.5390972,128.7954806
96,송천동,논골길,8,0,36.53918647,128.7956764
97,송천동,논골길,9,0,36.53927522,128.7955547
98,송천동,논골길,12,0,36.53929829,128.7957333
99,송천동,논골길,16,0,36.53944578,128.7958116
100,송천동,논골길,17,0,36.53956576,128.795737
101,송천동,논골길,18,0,36.53952626,128.7958841
102,송천동,논골길,19,0,36.53962396,128.79578
103,송천동,논골길,21,0,36.53971715,128.795861
104,송천동,논골길,23,2,36.53981144,128.7960676
105,송천동,논골길,23,3,36.5398996,128.7958745
106,송천동,논골길,24,0,36.53968376,128.7960871
107,송천동,논골길,25,0,36.53985923,128.7961725
108,송천동,논골길,26,0,36.539736,128.7962554
109,송천동,논골길,28,0,36.53967845,128.7962924
110,송천동,논골길,28,1,36.53977878,128.7963529
111,송천동,논골길,29,0,36.53994137,128.7962914
112,송천동,논골길,32,0,36.53991784,128.7965196
113,송천동,논골길,34,0,36.53995112,128.7965488
114,송천동,논골길,35,0,36.540082,128.7965323
115,송천동,논골길,37,0,36.54016746,128.7966202
116,송천동,논골길,37,2,36.5402397,128.7966845
117,송천동,논골길,37,3,36.54028084,128.796469
118,송천동,논골길,37,4,36.54036004,128.7964887
119,송천동,논골길,38,0,36.54009243,128.7966924
120,송천동,논골길,42,0,36.54018652,128.7968343
121,송천동,논골길,43,0,36.54039974,128.7968473
122,송천동,논골길,45,0,36.54047564,128.7967085
123,송천동,논골길,46,0,36.54034685,128.7969614
124,송천동,논골길,47,0,36.54050663,128.7968609
125,송천동,논골길,49,0,36.54061782,128.7970063
126,송천동,논골길,49,4,36.5407232,128.7969806
127,송천동,논골길,49,5,36.54071084,128.7967324
128,송천동,논골길,50,0,36.54053298,128.7970609
129,송천동,논골길,51,0,36.54064293,128.7971415
130,송천동,논골길,52,0,36.54053496,128.7971492
131,송천동,논골길,54,0,36.54054957,128.7972658
132,송천동,논골길,58,0,36.54044716,128.7973962
133,송천동,논골길,60,0,36.5404854,128.7975451
134,송천동,논골길,70,0,36.5402098,128.7977914
135,송천동,논골길,71,0,36.53992142,128.7978367
136,송천동,논골길,71,1,36.5401075,128.7979143
137,송천동,논골길,71,2,36.53963026,128.7975932
138,송천동,논골길,71,3,36.53999645,128.7979878
139,송천동,논골길,71,4,36.5398044,128.7979615
140,송천동,논골길,71,5,36.53993583,128.7980912
141,송천동,논골길,71,6,36.53970356,128.7980465
142,송천동,논골길,71,7,36.53985247,128.7982135
143,송천동,논골길,71,8,36.53960065,128.7982374
144,송천동,논골길,75,0,36.54007575,128.7975879
145,송천동,논골길,76,0,36.54013162,128.7975938
146,송천동,논골길,78,0,36.5401411,128.7974032
147,송천동,논골길,79,0,36.53996315,128.7974116
148,송천동,논골길,79,3,36.53986889,128.7976833
149,송천동,논골길,80,0,36.54008177,128.7973989
150,송천동,논골길,83,0,36.53989567,128.7972184
151,송천동,논골길,84,0,36.54002514,128.7971569
152,송천동,논골길,85,0,36.53991617,128.7970777
153,송천동,논골길,86,0,36.53997846,128.7970234
154,송천동,논골길,87,0,36.53988033,128.7969636
155,송천동,논골길,89,2,36.53976034,128.7968524
156,송천동,논골길,89,4,36.53967277,128.7969456
157,송천동,논골길,89,6,36.53972383,128.7971326
158,송천동,논골길,97,0,36.53960638,128.7966468
159,송천동,논골길,98,0,36.53960543,128.7965348
160,송천동,논골길,100,0,36.53948276,128.7963765
161,송천동,논골길,103,19,36.53940747,128.797622
162,송천동,논골길,103,22,36.53919027,128.7977641
163,송천동,논골길,103,23,36.53935782,128.7977954
164,송천동,논골길,103,25,36.53936148,128.7979627
165,송천동,논골길,104,0,36.5393227,128.7964896
166,송천동,논골길,106,6,36.53926546,128.7961975
167,송천동,논골길,107,0,36.53918607,128.7966317
168,송천동,논골길,110,0,36.53907812,128.7965097
169,송천동,논골길,114,0,36.53894691,128.7963258
170,송천동,논골길,121,0,36.53877171,128.7960847
171,송천동,석동길,1,0,36.54493496,128.7951814
172,송천동,석동길,15,0,36.54554023,128.7955576
173,송천동,석동길,23,0,36.54581929,128.7956443
174,송천동,석동길,29,0,36.54611395,128.7956954
175,송천동,석동길,34,0,36.54621317,128.7959353
176,송천동,석동길,38,0,36.54631894,128.7960803
177,송천동,석동길,117,22,36.55099672,128.7958914
178,송천동,석동길,164,0,36.55154193,128.7987023
179,송천동,석동길,183,40,36.55330617,128.7974391
180,송천동,석동길,183,65,36.55430892,128.7968816
181,송천동,석동길,220,0,36.55391448,128.7988802
182,송천동,석동길,222,0,36.55409843,128.7990467
183,송천동,석동길,387,0,36.55746345,128.8031766
184,송천동,송천1길,2,0,36.54570641,128.7879322
185,송천동,송천1길,7,0,36.54559151,128.7882515
186,송천동,송천1길,14,0,36.54531032,128.7883309
187,송천동,송천1길,15,0,36.54541979,128.7885869
188,송천동,송천1길,19,0,36.54529782,128.7887215
189,송천동,송천1길,22,0,36.54512197,128.788712
190,송천동,송천1길,30,0,36.54498661,128.7891543
191,송천동,송천1길,34,0,36.54496433,128.7893759
192,송천동,송천1길,35,1,36.54514343,128.7896284
193,송천동,송천1길,36,1,36.54477746,128.7893042
194,송천동,송천1길,37,2,36.54508324,128.7899198
195,송천동,송천1길,41,0,36.54489148,128.7898158
196,송천동,송천1길,42,0,36.54477099,128.7897123
197,송천동,송천1길,42,1,36.54467641,128.7896591
198,송천동,송천1길,43,7,36.54492003,128.7901892
199,송천동,송천1길,43,8,36.54480534,128.7903522
200,송천동,송천1길,43,12,36.54495857,128.7903665
201,송천동,송천1길,43,15,36.54521286,128.790361
202,송천동,송천1길,43,16,36.54516392,128.7904039
203,송천동,송천1길,43,21,36.54545358,128.7906232
204,송천동,송천1길,43,23,36.54538431,128.7907017
205,송천동,송천1길,43,25,36.54552584,128.7908329
206,송천동,송천1길,43,27,36.54543573,128.7908739
207,송천동,송천1길,43,29,36.5452308,128.7909927
208,송천동,송천1길,43,31,36.54499485,128.7913296
209,송천동,송천1길,43,33,36.54510762,128.7911923
210,송천동,송천1길,43,35,36.54495706,128.7911055
211,송천동,송천1길,43,38,36.54485214,128.7908826
212,송천동,송천1길,43,43,36.54461653,128.791059
213,송천동,송천1길,43,45,36.5445085,128.7910885
214,송천동,송천1길,43,46,36.5446018,128.790869
215,송천동,송천1길,43,47,36.54440169,128.7910529
216,송천동,송천1길,43,49,36.54428264,128.7910064
217,송천동,송천1길,46,0,36.54461351,128.7898764
218,송천동,송천1길,50,0,36.54452142,128.7900519
219,송천동,송천1길,52,0,36.54446241,128.7901474
220,송천동,송천1길,55,0,36.54448119,128.7903771
221,송천동,송천1길,59,0,36.54447079,128.7905967
222,송천동,송천1길,59,1,36.54461793,128.7906522
223,송천동,송천1길,59,2,36.54475622,128.7907141
224,송천동,송천1길,61,0,36.54448006,128.7906938
225,송천동,송천1길,70,0,36.5441288,128.7910386
226,송천동,송천1길,72,0,36.54401087,128.7912159
227,송천동,송천1길,75,0,36.54418997,128.7913846
228,송천동,송천1길,79,0,36.54438053,128.7914376
229,송천동,송천1길,83,0,36.54447428,128.7915366
230,송천동,송천1길,85,0,36.54471421,128.7913207
231,송천동,송천1길,87,0,36.54467571,128.791572
232,송천동,송천1길,93,0,36.5448707,128.7917742
233,송천동,송천1길,93,1,36.54507632,128.7917309
234,송천동,송천1길,93,2,36.54489999,128.7918568
235,송천동,송천1길,93,4,36.54508158,128.7918124
236,송천동,송천1길,95,0,36.54496831,128.791997
237,송천동,송천1길,99,0,36.54483477,128.7921489
238,송천동,송천1길,100,0,36.54473432,128.7921098
239,송천동,송천1길,102,0,36.54452847,128.7922473
240,송천동,송천1길,103,0,36.54476279,128.7924431
241,송천동,송천1길,105,0,36.54467787,128.7924694
242,송천동,송천1길,112,0,36.54446438,128.7927857
243,송천동,송천1길,113,0,36.544537,128.7928599
244,송천동,송천1길,115,0,36.54455073,128.7929808
245,송천동,송천1길,116,0,36.54439451,128.7929014
246,송천동,송천1길,117,0,36.54453554,128.7930508
247,송천동,송천1길,119,0,36.54451733,128.7931596
248,송천동,송천1길,120,0,36.54438422,128.7931725
249,송천동,송천1길,121,0,36.54450642,128.793288
250,송천동,송천1길,122,0,36.54439957,128.7933365
251,송천동,송천1길,125,0,36.54463921,128.7933111
252,송천동,송천1길,126,0,36.54444528,128.7935422
253,송천동,송천1길,127,0,36.54457066,128.7935675
254,송천동,송천1길,130,0,36.54453714,128.7937176
255,송천동,송천1길,132,0,36.54466243,128.7938405
256,송천동,송천1길,132,5,36.54432376,128.7939827
257,송천동,송천1길,133,0,36.54477053,128.7937336
258,송천동,송천1길,133,12,36.54500712,128.793269
259,송천동,송천1길,135,0,36.54489015,128.7936911
260,송천동,송천1길,136,0,36.54479493,128.7939568
261,송천동,송천1길,137,0,36.54495768,128.7938763
262,송천동,송천1길,138,0,36.54461522,128.7942582
263,송천동,송천1길,138,1,36.5445918,128.7944251
264,송천동,송천1길,138,2,36.54442901,128.7943049
265,송천동,송천1길,138,3,36.54429578,128.7945135
266,송천동,송천1길,138,4,36.54477849,128.7943816
267,송천동,송천1길,138,8,36.54448587,128.7946661
268,송천동,송천1길,140,0,36.54490782,128.7941126
269,송천동,송천1길,142,0,36.54505567,128.7940755
270,송천동,송천1길,145,3,36.5452413,128.793933
271,송천동,송천1길,145,4,36.54534542,128.7939874
272,송천동,송천1길,145,5,36.54526865,128.7938078
273,송천동,송천1길,145,7,36.5451654,128.7936238
274,송천동,송천1길,145,8,36.54542464,128.793775
275,송천동,송천1길,145,9,36.54534026,128.7936446
276,송천동,송천1길,145,10,36.54549415,128.7935711
277,송천동,송천1길,145,11,36.54540213,128.7934811
278,송천동,송천1길,145,12,36.54552819,128.7934669
279,송천동,송천1길,145,13,36.5453365,128.7933125
280,송천동,송천1길,145,15,36.54527096,128.7932128
281,송천동,송천1길,145,16,36.54558885,128.7933381
282,송천동,송천1길,145,17,36.54541802,128.7932299
283,송천동,송천1길,145,19,36.54554512,128.7932114
284,송천동,송천1길,145,20,36.5457655,128.7931375
285,송천동,송천1길,145,22,36.54584311,128.7930303
286,송천동,송천1길,146,3,36.5452464,128.7942364
287,송천동,송천1길,146,7,36.54513303,128.7944931
288,송천동,송천1길,146,8,36.54506115,128.7943537
289,송천동,송천1길,146,9,36.54515927,128.794589
290,송천동,송천1길,146,12,36.54495011,128.7945706
291,송천동,송천1길,146,13,36.54503239,128.7947626
292,송천동,송천1길,146,14,36.54489641,128.7947013
293,송천동,송천1길,146,15,36.5450223,128.7948664
294,송천동,송천1길,146,16,36.54483663,128.7948463
295,송천동,송천1길,146,17,36.54494197,128.7950056
296,송천동,송천1길,146,20,36.54481062,128.7950385
297,송천동,송천1길,151,0,36.54551108,128.7941524
298,송천동,송천2길,2,0,36.54139894,128.7900175
299,송천동,송천2길,9,0,36.54176648,128.7900636
300,송천동,송천2길,10,0,36.54167443,128.7901973
301,송천동,송천2길,11,10,36.54211013,128.7899519
302,송천동,송천2길,11,11,36.54211186,128.7898671
303,송천동,송천2길,11,12,36.54217492,128.7898753
304,송천동,송천2길,13,0,36.54190923,128.7901406
305,송천동,송천2길,17,0,36.5420485,128.7902952
306,송천동,송천2길,21,0,36.5421779,128.7903826
307,송천동,송천2길,25,0,36.54229299,128.790538
308,송천동,송천2길,29,0,36.54243888,128.7906722
309,송천동,송천2길,31,0,36.54265167,128.7907162
310,송천동,송천2길,35,11,36.54277815,128.790476
311,송천동,송천2길,35,17,36.54247525,128.7901492
312,송천동,송천2길,35,19,36.54247871,128.790111
313,송천동,송천2길,35,23,36.54264803,128.7901494
314,송천동,송천2길,35,31,36.54283788,128.7904601
315,송천동,송천2길,42,0,36.54283477,128.7911302
316,송천동,송천2길,42,1,36.54277168,128.7911878
